rows 130, cols 130
guard pos 69, 74

(80, 43) has been seen 2 times
(52, 74) has been seen 2 times
(52, 88) has been seen 2 times
(42, 88) has been seen 2 times
(42, 112) has been seen 2 times
(84, 106) has been seen 2 times
(84, 88) has been seen 2 times
(80, 47) has been seen 2 times
(70, 47) has been seen 2 times
(55, 74) has been seen 2 times
(55, 88) has been seen 2 times
(84, 93) has been seen 2 times
(88, 93) has been seen 2 times
(106, 93) has been seen 2 times
(93, 43) has been seen 2 times
(106, 81) has been seen 2 times
(113, 81) has been seen 2 times
(80, 36) has been seen 2 times
(68, 47) has been seen 2 times
(68, 74) has been seen 2 times
(68, 88) has been seen 2 times
(84, 91) has been seen 2 times
(88, 91) has been seen 2 times
(106, 91) has been seen 2 times
(113, 91) has been seen 2 times
(113, 84) has been seen 2 times
(106, 84) has been seen 2 times
(84, 84) has been seen 2 times
(68, 84) has been seen 2 times
(55, 84) has been seen 2 times
(52, 84) has been seen 2 times
(42, 84) has been seen 2 times
(40, 100) has been seen 2 times
(42, 100) has been seen 2 times
(52, 100) has been seen 2 times
(84, 100) has been seen 2 times
(88, 100) has been seen 2 times
(98, 93) has been seen 2 times
(98, 91) has been seen 2 times
(98, 84) has been seen 2 times
(98, 81) has been seen 2 times
(98, 43) has been seen 2 times
(98, 40) has been seen 2 times
(80, 39) has been seen 2 times
(68, 39) has been seen 2 times
(52, 39) has been seen 2 times
(34, 39) has been seen 2 times
(42, 76) has been seen 2 times
(52, 76) has been seen 2 times
(55, 76) has been seen 2 times
(68, 76) has been seen 2 times
(70, 76) has been seen 2 times
(80, 76) has been seen 2 times
(84, 76) has been seen 2 times
(93, 76) has been seen 2 times
(98, 76) has been seen 2 times
(104, 43) has been seen 2 times
(104, 40) has been seen 2 times
(104, 36) has been seen 2 times
(80, 29) has been seen 2 times
(78, 36) has been seen 2 times
(78, 39) has been seen 2 times
(78, 43) has been seen 2 times
(78, 47) has been seen 2 times
(80, 72) has been seen 2 times
(84, 72) has been seen 2 times
(93, 72) has been seen 2 times
(95, 43) has been seen 2 times
(95, 40) has been seen 2 times
(95, 39) has been seen 2 times
(95, 36) has been seen 2 times
(95, 29) has been seen 2 times
(80, 24) has been seen 2 times
(52, 24) has been seen 2 times
(16, 30) has been seen 2 times
(16, 76) has been seen 2 times
(38, 95) has been seen 2 times
(40, 95) has been seen 2 times
(42, 95) has been seen 2 times
(52, 95) has been seen 2 times
(84, 95) has been seen 2 times
(88, 95) has been seen 2 times
(89, 93) has been seen 2 times
(89, 91) has been seen 2 times
(89, 84) has been seen 2 times
(89, 76) has been seen 2 times
(89, 72) has been seen 2 times
(89, 43) has been seen 2 times
(89, 39) has been seen 2 times
(89, 36) has been seen 2 times
(89, 29) has been seen 2 times
(80, 28) has been seen 2 times
(52, 28) has been seen 2 times
(49, 39) has been seen 2 times
(49, 74) has been seen 2 times
(49, 76) has been seen 2 times
(52, 82) has been seen 2 times
(55, 82) has been seen 2 times
(68, 82) has been seen 2 times
(76, 80) has been seen 2 times
(76, 76) has been seen 2 times
(76, 47) has been seen 2 times
(76, 43) has been seen 2 times
(76, 39) has been seen 2 times
(76, 36) has been seen 2 times
(76, 28) has been seen 2 times
(52, 26) has been seen 2 times
(45, 39) has been seen 2 times
(49, 62) has been seen 2 times
(52, 62) has been seen 2 times
(55, 62) has been seen 2 times
(68, 62) has been seen 2 times
(70, 62) has been seen 2 times
(76, 62) has been seen 2 times
(78, 62) has been seen 2 times
(80, 62) has been seen 2 times
(84, 62) has been seen 2 times
(86, 43) has been seen 2 times
(86, 39) has been seen 2 times
(86, 36) has been seen 2 times
(86, 29) has been seen 2 times
(86, 28) has been seen 2 times
(86, 24) has been seen 2 times
(86, 15) has been seen 2 times
(86, 10) has been seen 2 times
(51, 10) has been seen 2 times
(25, 24) has been seen 2 times
(25, 30) has been seen 2 times
(29, 43) has been seen 2 times
(34, 43) has been seen 2 times
(45, 43) has been seen 2 times
(49, 43) has been seen 2 times
(50, 39) has been seen 2 times
(50, 28) has been seen 2 times
(50, 26) has been seen 2 times
(50, 24) has been seen 2 times
(31, 24) has been seen 2 times
(31, 30) has been seen 2 times
(31, 39) has been seen 2 times
(31, 43) has been seen 2 times
(34, 58) has been seen 2 times
(45, 58) has been seen 2 times
(49, 58) has been seen 2 times
(52, 58) has been seen 2 times
(55, 58) has been seen 2 times
(68, 58) has been seen 2 times
(70, 58) has been seen 2 times
(76, 58) has been seen 2 times
(78, 58) has been seen 2 times
(80, 58) has been seen 2 times
(84, 58) has been seen 2 times
(86, 58) has been seen 2 times
(89, 58) has been seen 2 times
(93, 58) has been seen 2 times
(95, 58) has been seen 2 times
(98, 58) has been seen 2 times
(101, 43) has been seen 2 times
(101, 40) has been seen 2 times
(101, 36) has been seen 2 times
(95, 33) has been seen 2 times
(89, 33) has been seen 2 times
(86, 33) has been seen 2 times
(80, 33) has been seen 2 times
(78, 33) has been seen 2 times
(76, 33) has been seen 2 times
(52, 33) has been seen 2 times
(50, 33) has been seen 2 times
(49, 33) has been seen 2 times
(45, 33) has been seen 2 times
(34, 33) has been seen 2 times
(31, 33) has been seen 2 times
(31, 37) has been seen 2 times
(34, 37) has been seen 2 times
(45, 37) has been seen 2 times
(49, 37) has been seen 2 times
(50, 37) has been seen 2 times
(52, 37) has been seen 2 times
(68, 37) has been seen 2 times
(76, 37) has been seen 2 times
(78, 37) has been seen 2 times
(80, 37) has been seen 2 times
(84, 36) has been seen 2 times
(84, 33) has been seen 2 times
(84, 29) has been seen 2 times
(84, 28) has been seen 2 times
(84, 24) has been seen 2 times
(84, 15) has been seen 2 times
(84, 10) has been seen 2 times
(84, 7) has been seen 2 times
(37, 10) has been seen 2 times
(37, 21) has been seen 2 times
(37, 24) has been seen 2 times
(37, 33) has been seen 2 times
(37, 37) has been seen 2 times
(37, 39) has been seen 2 times
(37, 43) has been seen 2 times
(45, 49) has been seen 2 times
(49, 49) has been seen 2 times
(52, 49) has been seen 2 times
(55, 49) has been seen 2 times
(68, 49) has been seen 2 times
(70, 49) has been seen 2 times
(76, 49) has been seen 2 times
(78, 49) has been seen 2 times
(80, 49) has been seen 2 times
(84, 49) has been seen 2 times
(86, 49) has been seen 2 times
(89, 49) has been seen 2 times
(91, 43) has been seen 2 times
(91, 39) has been seen 2 times
(91, 36) has been seen 2 times
(91, 33) has been seen 2 times
(91, 29) has been seen 2 times
(91, 24) has been seen 2 times
(86, 20) has been seen 2 times
(84, 20) has been seen 2 times
(80, 20) has been seen 2 times
(74, 24) has been seen 2 times
(74, 26) has been seen 2 times
(74, 28) has been seen 2 times
(74, 33) has been seen 2 times
(74, 36) has been seen 2 times
(74, 37) has been seen 2 times
(74, 39) has been seen 2 times
(74, 43) has been seen 2 times
(74, 47) has been seen 2 times
(74, 49) has been seen 2 times
(74, 58) has been seen 2 times
(74, 62) has been seen 2 times
(76, 67) has been seen 2 times
(78, 67) has been seen 2 times
(80, 67) has been seen 2 times
(84, 67) has been seen 2 times
(89, 67) has been seen 2 times
(93, 67) has been seen 2 times
(95, 67) has been seen 2 times
(98, 67) has been seen 2 times
(104, 67) has been seen 2 times
(106, 67) has been seen 2 times
(107, 40) has been seen 2 times
(107, 36) has been seen 2 times
(104, 32) has been seen 2 times
(102, 36) has been seen 2 times
(102, 40) has been seen 2 times
(102, 43) has been seen 2 times
(104, 51) has been seen 2 times
(106, 51) has been seen 2 times
(107, 51) has been seen 2 times
(113, 51) has been seen 2 times
(114, 51) has been seen 2 times
(114, 45) has been seen 2 times
(113, 45) has been seen 2 times
(107, 45) has been seen 2 times
(106, 45) has been seen 2 times
(104, 45) has been seen 2 times
(102, 45) has been seen 2 times
(101, 45) has been seen 2 times
(98, 45) has been seen 2 times
(95, 45) has been seen 2 times
(93, 45) has been seen 2 times
(91, 45) has been seen 2 times
(89, 45) has been seen 2 times
(86, 45) has been seen 2 times
(80, 45) has been seen 2 times
(78, 45) has been seen 2 times
(76, 45) has been seen 2 times
(74, 45) has been seen 2 times
(70, 45) has been seen 2 times
(68, 45) has been seen 2 times
(60, 47) has been seen 2 times
(60, 49) has been seen 2 times
(60, 58) has been seen 2 times
(60, 62) has been seen 2 times
(68, 69) has been seen 2 times
(70, 69) has been seen 2 times
(76, 69) has been seen 2 times
(78, 69) has been seen 2 times
(80, 69) has been seen 2 times
(84, 69) has been seen 2 times
(89, 69) has been seen 2 times
(93, 69) has been seen 2 times
(95, 69) has been seen 2 times
(98, 69) has been seen 2 times
(104, 69) has been seen 2 times
(106, 69) has been seen 2 times
(106, 68) has been seen 2 times
(104, 68) has been seen 2 times
(98, 68) has been seen 2 times
(95, 68) has been seen 2 times
(93, 68) has been seen 2 times
(89, 68) has been seen 2 times
(88, 69) has been seen 2 times
(88, 72) has been seen 2 times
(88, 76) has been seen 2 times
(88, 84) has been seen 2 times
(89, 85) has been seen 2 times
(98, 85) has been seen 2 times
(106, 85) has been seen 2 times
(113, 85) has been seen 2 times
(115, 85) has been seen 2 times
(114, 63) has been seen 2 times
(113, 63) has been seen 2 times
(113, 65) has been seen 2 times
(114, 65) has been seen 2 times
(124, 65) has been seen 2 times
(111, 12) has been seen 2 times
(86, 12) has been seen 2 times
(84, 12) has been seen 2 times
(59, 15) has been seen 2 times
(59, 18) has been seen 2 times
(59, 24) has been seen 2 times
(59, 26) has been seen 2 times
(59, 28) has been seen 2 times
(59, 33) has been seen 2 times
(59, 37) has been seen 2 times
(59, 39) has been seen 2 times
(68, 40) has been seen 2 times
(72, 39) has been seen 2 times
(72, 37) has been seen 2 times
(72, 36) has been seen 2 times
(72, 33) has been seen 2 times
(72, 28) has been seen 2 times
(72, 26) has been seen 2 times
(72, 24) has been seen 2 times
(72, 18) has been seen 2 times
(72, 15) has been seen 2 times
(72, 12) has been seen 2 times
(72, 10) has been seen 2 times
(51, 9) has been seen 2 times
(37, 9) has been seen 2 times
(34, 10) has been seen 2 times
(34, 21) has been seen 2 times
(37, 22) has been seen 2 times
(50, 22) has been seen 2 times
(52, 22) has been seen 2 times
(59, 22) has been seen 2 times
(72, 22) has been seen 2 times
(74, 22) has been seen 2 times
(80, 22) has been seen 2 times
(82, 20) has been seen 2 times
(82, 15) has been seen 2 times
(72, 14) has been seen 2 times
(59, 14) has been seen 2 times
(51, 14) has been seen 2 times
(37, 14) has been seen 2 times
(34, 14) has been seen 2 times
(25, 14) has been seen 2 times
(20, 24) has been seen 2 times
(20, 30) has been seen 2 times
(20, 76) has been seen 2 times
(20, 95) has been seen 2 times
(38, 98) has been seen 2 times
(40, 98) has been seen 2 times
(42, 98) has been seen 2 times
(52, 98) has been seen 2 times
(64, 95) has been seen 2 times
(64, 93) has been seen 2 times
(64, 88) has been seen 2 times
(64, 84) has been seen 2 times
(64, 82) has been seen 2 times
(64, 76) has been seen 2 times
(64, 74) has been seen 2 times
(64, 69) has been seen 2 times
(64, 62) has been seen 2 times
(64, 58) has been seen 2 times
(60, 53) has been seen 2 times
(55, 53) has been seen 2 times
(52, 53) has been seen 2 times
(49, 53) has been seen 2 times
(45, 53) has been seen 2 times
(37, 58) has been seen 2 times
(49, 70) has been seen 2 times
(52, 70) has been seen 2 times
(53, 62) has been seen 2 times
(53, 58) has been seen 2 times
(53, 53) has been seen 2 times
(53, 49) has been seen 2 times
(53, 39) has been seen 2 times
(53, 37) has been seen 2 times
(53, 33) has been seen 2 times
(52, 32) has been seen 2 times
(50, 32) has been seen 2 times
(49, 32) has been seen 2 times
(45, 32) has been seen 2 times
(37, 32) has been seen 2 times
(34, 32) has been seen 2 times
(31, 32) has been seen 2 times
(25, 32) has been seen 2 times
(20, 32) has been seen 2 times
(16, 32) has been seen 2 times
(16, 59) has been seen 2 times
(20, 59) has been seen 2 times
(20, 46) has been seen 2 times
(16, 46) has been seen 2 times
(14, 59) has been seen 2 times
(14, 76) has been seen 2 times
(22, 98) has been seen 2 times
(22, 95) has been seen 2 times
(22, 76) has been seen 2 times
(22, 59) has been seen 2 times
(20, 57) has been seen 2 times
(16, 57) has been seen 2 times
(14, 57) has been seen 2 times
(12, 57) has been seen 2 times
(9, 57) has been seen 2 times
(10, 76) has been seen 2 times
(10, 57) has been seen 2 times
(10, 30) has been seen 2 times
(14, 102) has been seen 2 times
(22, 102) has been seen 2 times
(40, 102) has been seen 2 times
(42, 102) has been seen 2 times
(47, 100) has been seen 2 times
(47, 98) has been seen 2 times
(47, 95) has been seen 2 times
(47, 88) has been seen 2 times
(47, 84) has been seen 2 times
(47, 76) has been seen 2 times
(47, 74) has been seen 2 times
(47, 70) has been seen 2 times
(47, 62) has been seen 2 times
(47, 58) has been seen 2 times
(47, 53) has been seen 2 times
(47, 49) has been seen 2 times
(47, 43) has been seen 2 times
(47, 39) has been seen 2 times
(47, 37) has been seen 2 times
(47, 33) has been seen 2 times
(47, 32) has been seen 2 times
(47, 26) has been seen 2 times
(47, 24) has been seen 2 times
(47, 22) has been seen 2 times
(47, 21) has been seen 2 times
(37, 19) has been seen 2 times
(34, 19) has been seen 2 times
(25, 19) has been seen 2 times
(20, 19) has been seen 2 times
(5, 26) has been seen 2 times
(5, 102) has been seen 2 times
(40, 110) has been seen 2 times
(42, 110) has been seen 2 times
(45, 102) has been seen 2 times
(45, 100) has been seen 2 times
(45, 98) has been seen 2 times
(45, 95) has been seen 2 times
(42, 90) has been seen 2 times
(40, 90) has been seen 2 times
(38, 90) has been seen 2 times
(32, 95) has been seen 2 times
(32, 98) has been seen 2 times
(32, 102) has been seen 2 times
(32, 110) has been seen 2 times
(37, 110) has been seen 2 times
(37, 102) has been seen 2 times
(37, 98) has been seen 2 times
(32, 97) has been seen 2 times
(26, 98) has been seen 2 times
(26, 102) has been seen 2 times
(26, 110) has been seen 2 times
(51, 114) has been seen 2 times
(51, 112) has been seen 2 times
(45, 109) has been seen 2 times
(42, 109) has been seen 2 times
(40, 109) has been seen 2 times
(37, 109) has been seen 2 times
(32, 109) has been seen 2 times
(26, 109) has been seen 2 times
(9, 110) has been seen 2 times
(56, 114) has been seen 2 times
(56, 112) has been seen 2 times
(56, 106) has been seen 2 times
(52, 105) has been seen 2 times
(45, 105) has been seen 2 times
